수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2024 - 수입금액(천$),2024 - 수입 증가율(%),2024 - 수출액(천$),2024 - 수출 증가율(%),2023 - 수입금액(천$),2023 - 수입 증가율(%),2023 - 수출액(천$),2023 - 수출 증가율(%),2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%)
19,벨기에,"461,121","359,002","-102,119","6,239",1.4,-5.3,-15.9,1.0,"4,322","독일(184,825)","프랑스(52,983)","체코(36,263)","중국(30,991)","폴란드(29,631)","스웨덴(24,474)","네덜란드(21,967)","이탈리아(20,492)","일본(16,117)","슬로바키아(7,575)","한국(6,239)","영국(4,801)","스페인(3,688)","튀르키예(2,866)","대만(2,619)","인도(2,553)","덴마크(1,662)","태국(1,622)","미국(1,256)","헝가리(1,239)","멕시코(1,127)","오스트리아(1,113)",루마니아(660),슬로베니아(646),그리스(580),노르웨이(530),남아프리카공화국(412),스위스(409),포르투갈(272),몬테네그로(264),"461,121",-28.8,"359,002",5.2,"647,806",-0.6,"341,390",4.7,"651,863",8.3,"325,915",-1.8
20,인도,"370,190","1,013,489","643,299","36,381",9.8,15.4,15.3,0.8,"17,307","중국(81,034)","일본(57,191)","태국(39,094)","독일(37,189)","한국(36,381)","이탈리아(15,939)","미국(13,909)","영국(11,903)","프랑스(4,422)","스웨덴(2,789)","체코(1,987)","스위스(1,445)","멕시코(1,378)","튀르키예(1,223)","벨기에(1,117)",스페인(970),덴마크(681),폴란드(547),인도(488),말레이시아(440),슬로바키아(401),남아프리카공화국(367),우크라이나(321),호주(300),헝가리(291),대만(166),인도네시아(137),포르투갈(132),아랍에미리트(97),뉴질랜드(82),"370,190",-11.7,"1,013,489",3.7,"419,328",50.6,"977,672",39.9,"278,518",22.4,"698,947",14.0
21,루마니아,"421,767","241,700","-180,067",71,0.0,3.0,7.1,0.9,201,"독일(107,680)","폴란드(49,612)","스페인(41,214)","슬로바키아(39,079)","프랑스(31,206)","이탈리아(28,960)","체코(21,798)","튀르키예(20,055)","헝가리(18,966)","중국(14,334)","벨기에(11,008)","포르투갈(9,046)","덴마크(5,117)","인도(4,801)","오스트리아(3,490)","리투아니아(2,872)","모로코(2,757)","영국(2,537)","태국(2,284)","네덜란드(1,300)","몰타(1,202)",불가리아(711),스웨덴(478),아일랜드(469),크로아티아(280),슬로베니아(132),한국(71),미국(67),일본(53),대만(44),"421,767",11.0,"241,700",3.5,"379,809",3.3,"233,431",10.5,"367,568",4.8,"211,182",-2.7
22,스위스,"436,936","155,345","-281,591","1,283",0.3,19.8,39.8,1.0,31,"독일(127,430)","이탈리아(28,702)","중국(18,150)","폴란드(12,289)","미국(9,681)","체코(6,069)","스페인(5,377)","스웨덴(5,113)","프랑스(4,933)","네덜란드(4,383)","일본(4,190)","슬로바키아(3,429)","영국(2,862)","오스트리아(1,827)","루마니아(1,608)","인도(1,444)","한국(1,283)","벨기에(1,272)",덴마크(959),튀르키예(828),멕시코(715),헝가리(668),태국(362),베트남(233),대만(209),브라질(127),캐나다(118),튀니지(93),남아프리카공화국(81),포르투갈(67),"436,936",4.0,"155,345",-17.0,"420,038",88.0,"187,195",68.3,"223,411",10.8,"111,257",0.6
23,태국,"373,851","667,568","293,716","1,576",0.4,6.1,9.5,0.8,"2,014","일본(127,737)","중국(118,877)","미국(62,080)","인도(9,338)","인도네시아(8,302)","독일(6,148)","폴란드(4,188)","말레이시아(3,683)","체코(3,483)","이탈리아(2,900)","스페인(2,147)","튀르키예(1,978)","한국(1,576)","슬로바키아(1,546)","멕시코(1,089)",루마니아(940),프랑스(920),스웨덴(832),호주(702),영국(691),캐나다(620),대만(565),헝가리(517),베트남(321),태국(321),남아프리카공화국(217),브라질(202),싱가포르(118),뉴질랜드(49),벨기에(36),"373,851",-0.4,"667,568",1.0,"375,415",20.5,"660,840",5.1,"311,575",3.2,"628,522",-2.8
24,말레이시아,"364,452","71,079","-293,373","3,457",0.9,15.7,21.6,0.8,"1,449","태국(70,531)","중국(69,184)","일본(66,387)","인도네시아(35,702)","독일(17,811)","폴란드(8,549)","이탈리아(7,568)","체코(5,278)","한국(3,457)","인도(3,322)","미국(3,060)","스페인(2,973)","싱가포르(2,236)","벨기에(1,697)","멕시코(1,604)","루마니아(1,163)",튀르키예(773),대만(629),네덜란드(583),영국(454),스웨덴(327),필리핀(312),브라질(284),슬로바키아(258),프랑스(220),호주(178),오스트리아(82),헝가리(68),이집트(43),노르웨이(28),"364,452",13.9,"71,079",50.3,"319,875",29.8,"47,290",48.9,"246,434",35.5,"31,762",-14.9
25,호주,"361,066","31,098","-329,967","7,987",2.2,9.4,8.3,0.8,"5,555","중국(99,960)","미국(68,047)","독일(36,287)","일본(21,408)","이탈리아(13,459)","태국(12,169)","영국(12,104)","한국(7,987)","폴란드(6,871)","체코(5,160)","대만(4,217)","스웨덴(3,922)","스페인(3,470)","인도(2,054)","프랑스(1,937)","슬로바키아(1,737)","브라질(1,698)","멕시코(1,640)","루마니아(1,561)",튀르키예(894),캐나다(840),말레이시아(688),헝가리(501),남아프리카공화국(348),노르웨이(299),벨기에(256),그리스(189),네덜란드(157),싱가포르(152),베트남(150),"361,066",2.4,"31,098",-7.9,"352,507",14.6,"33,761",0.0,"307,715",13.1,"33,753",-21.3
26,남아프리카공화국,"386,103","40,022","-346,081","1,621",0.4,11.3,25.0,0.8,968,"중국(62,948)","태국(29,254)","독일(24,491)","체코(24,062)","일본(18,080)","폴란드(15,847)","미국(14,233)","이탈리아(10,829)","스페인(7,228)","인도(6,437)","튀르키예(5,580)","프랑스(5,519)","슬로바키아(3,910)","영국(2,860)","루마니아(2,765)","한국(1,621)","브라질(1,578)","대만(1,185)",스웨덴(713),호주(705),멕시코(575),헝가리(418),인도네시아(362),캐나다(294),벨기에(277),베트남(234),노르웨이(218),오스트리아(186),아랍에미리트(154),남아프리카공화국(143),"386,103",-13.9,"40,022",-6.8,"448,448",81.3,"42,953",6.5,"247,291",6.2,"40,343",7.8
27,헝가리,"379,480","289,685","-89,794",370,0.1,6.8,0.5,0.8,"1,511","독일(239,086)","폴란드(36,780)","중국(23,569)","체코(22,816)","이탈리아(13,120)","영국(7,272)","오스트리아(5,562)","슬로바키아(5,257)","슬로베니아(3,209)","루마니아(3,167)","네덜란드(3,088)","스페인(3,069)","튀르키예(2,745)","벨기에(2,239)","덴마크(2,207)","리투아니아(1,804)",일본(772),인도(693),크로아티아(680),프랑스(565),벨라루스(419),한국(370),미국(200),아랍에미리트(129),대만(108),우크라이나(96),스위스(87),스웨덴(75),불가리아(62),멕시코(40),"379,480",-6.2,"289,685",-5.2,"404,658",7.7,"305,591",10.8,"375,851",9.2,"275,770",-24.8
28,인도네시아,"341,170","52,043","-289,127","2,999",0.9,5.1,-4.1,0.7,"1,016","태국(120,940)","일본(99,852)","중국(60,920)","인도(11,088)","베트남(6,541)","미국(5,957)","독일(4,133)","스웨덴(3,320)","한국(2,999)","호주(1,798)","말레이시아(1,669)","폴란드(1,662)","이탈리아(1,656)","대만(1,598)","튀르키예(1,456)","프랑스(1,158)",헝가리(829),슬로바키아(786),브라질(591),영국(460),스페인(424),싱가포르(377),오스트리아(362),벨기에(352),체코(328),멕시코(214),남아프리카공화국(189),루마니아(136),캐나다(100),그리스(82),"341,170",-10.4,"52,043",-14.5,"380,800",2.7,"60,849",15.9,"370,909",45.6,"52,523",-1.8
